Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_random_replay_timestamp_diff_frequencia_irregular,0.2089,0.2879,0.15,72.79,0.5
rule_grayhole_timestamp_diff_outlier,0.2102,1.1056,0.149,401.77,0.509
rule_masquerade_fake_fault_state_change_anomaly,0.2111,0.4127,0.15,107.47,0.46
rule_injection_stdiff,0.2117,0.2097,0.149,44.26,0.48
rule_random_replay_goose_length_diff_desvio,0.2128,0.2057,0.16,42.29,0.48
rule_random_replay_cb_status_diff_anomalia,0.2132,0.3649,0.15,88.73,0.5
rule_grayhole_frame_length_diff_change_sense_sequence,0.2134,0.7654,0.18,310.28,0.45
rule_masquerade_fake_fault_state_anomaly,0.2137,0.7469,0.15,260.42,0.471
rule_grayhole_goose_length_diff_change_sense,0.2137,0.2455,0.18,41.36,0.469
rule_grayhole_frame_length_diff,0.2138,0.1708,0.18,20.71,0.46
rule_injection_ethsrc_ethdst_outside_topology,0.2141,0.1869,0.179,21.61,0.449
rule_grayhole_cbstatus_falsification,0.2144,0.8251,0.15,350.7,0.49
rule_grayhole_gooselength_diff,0.2147,0.2812,0.149,42.06,0.54
rule_masquerade_fake_fault_tdiff,0.2147,0.5914,0.149,239.09,0.51
rule_random_replay_t_diff_anomalia,0.215,0.2591,0.149,57.67,0.5
rule_inverse_replay_cb_status_diff,0.2157,0.2341,0.149,41.29,0.51
rule_random_replay_cb_status_diff_incremento_anomalo,0.2165,0.2534,0.14,43.74,0.52
rule_grayhole_timefromlastchange_change_sense,0.2166,0.1612,0.16,19.57,0.39
rule_injection_cb_status_alterado,0.2167,0.2611,0.189,86.18,0.44
rule_high_StNum_frequencia_pattern,0.2167,0.7707,0.15,310.25,0.5
rule_masquerade_fake_normal_frequencia_anomalia_t_diff,0.2177,0.8475,0.149,241.0,0.51
rule_inverse_replay_delay,0.2177,1.1671,0.16,489.66,0.56
rule_high_StNum_frequencia,0.2184,0.2398,0.18,70.89,0.429
rule_inverse_replay_diferenca_de_tempo_pequena,0.2186,0.3966,0.15,98.88,0.51
rule_inverse_replay_sqnum,0.219,0.6596,0.15,249.12,0.57
rule_masquerade_fake_fault_disjuntor_falsification_consistent,0.2191,0.2482,0.18,54.63,0.42
rule_masquerade_fake_fault_falsification_disjuntor_consistent,0.2196,0.3939,0.18,126.68,0.44
rule_grayhole_sqnum_stnum_change_sense_sequence,0.2196,0.1636,0.169,18.95,0.49
rule_random_replay_cb_status_diff_frequencia_irregular,0.22,0.9619,0.14,383.06,0.53
rule_random_replay_cb_status_diff_desvio,0.2202,0.2003,0.15,30.43,0.51
rule_grayhole_frame_length_diff_change_sense,0.2204,0.2098,0.18,19.94,0.5095
rule_masquerade_fake_fault_frequencia2,0.2214,1.4987,0.16,514.89,0.57
rule_injection_rajada_de_pacotes_em_intervalo_muito_curto,0.2215,0.5885,0.169,224.77,0.5
rule_inverse_replay_tdiff,0.2215,0.2577,0.149,31.75,0.55
rule_grayhole_falsification,0.2216,0.4483,0.18,145.73,0.45
rule_masquerade_fake_fault_falsification_disjuntor_consistent_sequence,0.2225,0.7115,0.18,292.01,0.451
rule_masquerade_fake_fault_time_diff_anomaly_sequence,0.2228,0.1867,0.149,31.54,0.51
rule_poisoned_high_rate_falsification_state,0.2229,0.2923,0.179,40.811,0.4695
rule_masquerade_fake_fault_time_diff_anomaly,0.2229,0.4983,0.149,202.88,0.5
rule_grayhole_timefromlastchange_change_sense_sequence,0.2243,0.2079,0.16,22.79,0.49
rule_poisoned_high_rate_frequency,0.2246,0.9344,0.169,344.76,0.49
rule_high_StNum_flood_pattern,0.2248,0.2998,0.171,101.14,0.48
rule_grayhole_tdif_replay,0.2253,0.1861,0.16,19.46,0.48
rule_masquerade_fake_fault_time_difference_anomaly_sequence,0.2278,0.7651,0.15,287.72,0.52
rule_grayhole_reset_sequence,0.228,0.7411,0.17,307.66,0.56
rule_grayhole_sqnum,0.2284,0.5161,0.149,167.051,0.58
rule_masquerade_fake_fault_cbstatus_goID_falsification,0.2289,0.9917,0.18,328.2,0.47
rule_poisoned_high_rate_stnum,0.2289,0.2645,0.149,56.55,0.56
rule_grayhole_combined,0.2296,0.4985,0.14,136.32,0.54
rule_inverse_replay_stnum,0.2305,0.2465,0.149,46.129,0.52
rule_inverse_replay_pacotes_desaparecidos,0.2309,0.4418,0.18,177.12,0.53
rule_masquerade_fake_normal_large_sqdiff,0.2316,0.2653,0.16,61.5,0.53
rule_grayhole_frame_length_diff_injection,0.2322,0.8169,0.18,318.78,0.57
rule_random_replay_sq_num_incremento_anomalo,0.2329,0.3336,0.17,101.54,0.54
rule_random_replay_masquerade_falsificacao,0.2331,0.1912,0.19,20.52,0.5
rule_grayhole_different_origins,0.2333,0.2214,0.2,34.39,0.39
rule_grayhole_sqnum_reset_pattern,0.2334,0.1947,0.2,24.34,0.48
rule_random_replay_goose_length_diff_anomalia,0.2336,1.0129,0.159,370.149,0.55
rule_inverse_replay_inconsistencia,0.235,0.1872,0.2,31.6,0.47
rule_grayhole_anomalous_frequency,0.2357,0.6689,0.18,189.95,0.551
rule_grayhole_sqnum_stnum_change_sense,0.236,0.6157,0.169,219.52,0.58
rule_inverse_replay_grayhole,0.2362,0.6041,0.18,220.31,0.56
rule_random_replay_cb_status_alterado_go_id_alterado_delay_anomalo,0.2364,0.9018,0.149,322.899,0.58
rule_masquerade_fake_normal_high_stnum,0.2365,0.2048,0.15,37.43,0.52
rule_poisoned_high_rate_statistical_anomaly,0.2366,0.3269,0.171,77.49,0.56
rule_inverse_replay_inconsistencias_campos_derivados,0.237,0.1804,0.2,17.79,0.48
rule_inverse_replay_sqnum_stnum,0.2376,0.9845,0.18,339.89,0.54
rule_inverse_replay_stdiff_sqdiff,0.2377,1.8528,0.149,680.08,0.59
rule_inverse_replay_desvio_significativo,0.2381,0.9275,0.18,391.54,0.511
rule_inverse_replay_falsificacao_consistente,0.2382,0.373,0.189,127.351,0.54
rule_grayhole_tdif_change_sense,0.2385,0.2075,0.15,21.52,0.52
rule_grayhole_tdif_change_sense_sequence,0.2391,0.189,0.159,17.84,0.51
rule_high_StNum_StNum,0.2397,0.8026,0.14,307.16,0.55
rule_high_StNum_combined,0.2397,0.3555,0.14,80.4,0.84
rule_grayhole_cbstatus_time_diff,0.241,0.9451,0.18,389.79,0.56
rule_masquerade_fake_normal_repeticao_exata_pacotes_antigos,0.2423,0.8283,0.19,353.83,0.55
rule_inverse_replay_inconsistencies,0.2423,0.7035,0.2,299.89,0.52
rule_inverse_replay_replay_old_packets,0.2424,0.2237,0.19,41.35,0.54
rule_masquerade_fake_normal_increment_anomalous_sequence,0.2428,0.2429,0.189,39.651,0.55
rule_poisoned_high_rate_less_used,0.2432,0.352,0.189,72.52,0.55
rule_poisoned_high_rate_flood,0.2432,0.7223,0.189,274.921,0.52
rule_injection_falsification_pattern,0.2432,0.402,0.2,153.38,0.471
rule_inverse_replay_frequencia_irregular_mudanca_estado_disjuntor,0.2435,0.8218,0.189,280.07,0.54
rule_masquerade_fake_fault_stdiff,0.244,0.7583,0.16,284.12,0.56
rule_injection_cb_status_alterado_go_id_alterado_delay_anomalo,0.2442,0.2182,0.209,20.6,0.46
rule_high_StNum_frame_length_diff_correlated,0.2447,0.9331,0.19,397.98,0.55
rule_masquerade_fake_normal_diferenca_significativa_frame_length_diff_timestamp_diff,0.2448,0.2198,0.2,36.95,0.491
rule_masquerade_fake_fault_sqdiff,0.2449,0.2367,0.17,32.31,0.55
rule_masquerade_fake_normal_mudancas_anomalias_cb_status_go_id,0.246,0.4067,0.17,71.92,0.6
rule_poisoned_high_rate_anomaly_statistical,0.2466,0.6522,0.189,130.33,0.54
rule_injection_ethsrc_falsification,0.2469,0.8492,0.169,329.13,0.59
rule_masquerade_fake_normal_large_stdiff,0.2479,0.2415,0.16,22.77,0.56
rule_grayhole_cbstatus_change_sense_sequence,0.2485,0.7197,0.149,278.219,0.61
rule_grayhole_delay_change_sense_sequence,0.25,0.4406,0.16,125.14,0.53
rule_grayhole_delay_change_sense,0.25,0.3523,0.16,121.07,0.53
rule_high_StNum_stDiff,0.2518,0.3368,0.14,89.85,0.569
rule_inverse_replay_flood_packets,0.2527,0.8405,0.18,346.58,0.55
rule_masquerade_fake_normal_ethsrc_ethdst_cbstatus,0.2537,0.4281,0.2,146.07,0.56
rule_inverse_replay_frequencia_irregular_mudanca_estado,0.2539,0.8414,0.189,339.359,0.58
rule_masquerade_fake_fault_jumps_stnum_time_diff,0.2545,1.664,0.19,689.24,0.55
rule_injection_frequencia_irregular_de_mensagens,0.2548,0.333,0.2,99.04,0.52
rule_random_replay_st_num_alto_sq_diff_baixo_timestamp_diff_pequeno,0.2552,0.2135,0.15,31.99,0.58
rule_injection_alternancia_entre_valores_normais_e_anomais,0.2556,0.447,0.21,94.61,0.5
rule_injection_inconsistencias_entre_campos_derivados,0.2556,0.914,0.209,330.59,0.53
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff,0.2557,1.765,0.2,765.99,0.6
rule_masquerade_fake_fault_sequence_jump,0.2557,0.1936,0.209,18.991,0.549
rule_masquerade_fake_normal_sqnum_reset_pattern,0.2559,0.8609,0.2,357.66,0.55
rule_grayhole_stnum,0.2564,1.3813,0.14,432.31,0.61
rule_masquerade_fake_normal_diferenca_significativa_delay_time_from_last_change,0.2564,0.3804,0.2,85.6,0.55
rule_high_StNum_stnum_frame_length_diff_anomalous,0.2565,0.3808,0.18,107.4,0.59
rule_masquerade_fake_fault_packet_reappearance_sequence,0.2568,0.2781,0.21,65.51,0.54
rule_masquerade_fake_normal_jumps_stnum_time_diff,0.257,0.4848,0.2,146.09,0.609
rule_masquerade_fake_normal_cbstatus_timestamp_diff,0.257,0.2313,0.2,58.52,0.5
rule_masquerade_fake_fault_falsification_disjuntor,0.2581,0.1811,0.209,17.351,0.48
rule_injection_cbstatus_diff_outside_expected,0.2584,0.7436,0.2,312.46,0.54
rule_high_StNum_replay_frequencia,0.2589,0.2319,0.209,26.34,0.56
rule_masquerade_fake_normal_zero_timestampdiff,0.2591,0.6655,0.149,261.6,1.04
rule_grayhole_cbstatus_jumps,0.2592,0.3192,0.2,81.74,0.52
rule_high_StNum_replay,0.2599,0.6521,0.2,249.03,0.549
rule_masquerade_fake_normal_frequencia_anomalia_cb_status_go_id,0.2603,0.3144,0.18,69.151,0.62
rule_masquerade_fake_normal_reset,0.2604,0.7305,0.209,277.57,0.58
rule_injection_cbstatus_falsification,0.2606,0.7575,0.189,319.28,0.55
rule_inverse_replay_time_diff,0.2607,1.7951,0.149,587.119,0.61
rule_injection_desvio_significativo_em_relacao_a_media_mediana_do_trafego_normal,0.2615,0.71,0.2,282.839,0.5554
rule_inverse_replay_retransmissao_exata,0.2625,0.7755,0.209,331.9,0.589
rule_masquerade_fake_fault_packet_disappearance,0.2643,0.3489,0.2,71.469,0.59
rule_injection_jumps_stnum,0.2645,0.5927,0.2,184.55,0.63
rule_high_StNum_cb_status_go_id_reset,0.2645,0.7321,0.209,311.95,0.549
rule_inverse_replay_anomalous_frequency,0.2649,0.4077,0.18,102.589,0.611
rule_injection_intervalos_entre_mensagens_anomais,0.2654,0.4883,0.209,150.79,0.56
rule_high_StNum_jumps_stnum_time_diff,0.2664,0.3665,0.2,114.31,0.55
rule_poisoned_high_rate_frequency_irregular,0.2666,0.2869,0.189,41.0,0.68
rule_grayhole_falsification_state,0.2671,0.3488,0.22,100.68,0.5
rule_high_StNum_anomalies_frequency,0.2682,1.2466,0.209,424.081,0.551
rule_high_StNum_cb_status_frame_length_diff_anomalous,0.2687,2.2334,0.209,990.52,0.51
rule_random_replay_grayhole_desaparecimento,0.27,0.2168,0.18,17.9,0.62
rule_high_StNum_cb_status_timestamp_diff_anomalous,0.2702,0.3197,0.21,31.49,0.6
rule_grayhole_jumps_stnum_time_diff,0.2704,0.3696,0.2,132.53,0.6
rule_injection_st_num_e_sq_num_fora_de_ordem,0.271,0.7165,0.22,286.92,0.56
rule_masquerade_fake_normal_injection,0.2718,0.2832,0.23,58.431,0.549
rule_masquerade_fake_fault_packet_reappearance,0.2723,0.2809,0.209,25.29,0.63
rule_masquerade_fake_fault_combination_anomaly_sequence,0.2724,0.3418,0.21,65.07,0.54
rule_poisoned_high_rate_sqnum,0.2726,2.7644,0.14,1145.65,0.66
rule_high_StNum_falsification_frame,0.2729,0.8905,0.21,385.399,0.589
rule_high_StNum_masquerade_pattern,0.2729,0.2364,0.22,36.78,0.56
rule_injection_freq_anomalous,0.2732,0.8378,0.209,345.2,0.61
rule_masquerade_fake_fault_time_difference_anomaly,0.2746,0.603,0.149,149.4,0.64
rule_injection_eth_src_dst_anomais,0.2762,0.3609,0.209,87.359,0.611
rule_poisoned_high_rate_falsification,0.2762,0.2787,0.24,71.29,0.48
rule_grayhole_jumps_stnum_diff,0.2771,0.3221,0.18,65.8,0.7
rule_masquerade_fake_fault_ethsrc_ethdst_injection,0.2777,0.3014,0.2,34.971,0.64
rule_inverse_replay_falsification,0.2791,0.2081,0.24,39.81,0.52
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff_frame_length_diff,0.2813,0.3624,0.229,96.269,0.56
rule_random_replay_falsification,0.2821,0.5879,0.22,229.23,0.62
rule_grayhole_different_destinations,0.2847,2.0155,0.2,770.85,0.67
rule_inverse_replay_length_diff,0.2847,0.9287,0.23,396.42,0.61
rule_random_replay_falsification_state,0.2848,1.7747,0.219,645.25,0.58
rule_injection_sqnum_time_diff,0.2852,4.5363,0.2,2015.35,0.63
rule_grayhole_sqdiff_zero,0.2872,2.5207,0.18,932.26,0.56
rule_high_StNum_temporal,0.2879,0.8661,0.189,308.45,0.69
rule_injection_replay_pattern,0.288,0.2625,0.22,54.58,0.65
rule_inverse_replay_combinado,0.2885,0.3789,0.2,123.68,0.63
rule_inverse_replay_alternancia,0.2886,0.3409,0.229,97.83,0.61
rule_injection_pacotes_que_desaparecem_e_reaparecem_com_numeros_de_sequencia_fora_de_ordem,0.2887,1.0891,0.22,321.491,0.6695
rule_inverse_replay_combination,0.2887,0.6806,0.2,227.11,0.62
rule_inverse_replay_sqnum_reset_pattern,0.29,0.2968,0.23,58.8,0.6
rule_injection_falsificacao_consistente_de_eth_src_dst_cb_status,0.2907,0.202,0.22,18.21,0.52
rule_masquerade_fake_fault_rapid_packets,0.2907,0.6351,0.2,265.64,0.64
rule_injection_jumps_stnum_time_diff,0.2908,0.7958,0.23,323.99,0.67
rule_injection_st_num_alto_sq_diff_baixo_timestamp_diff_pequeno,0.2913,0.7805,0.2,318.23,0.65
rule_grayhole_ethsrc_ethdst_jumps,0.2944,0.7124,0.229,304.329,0.63
rule_poisoned_high_rate_pattern_specific,0.2944,0.3174,0.26,77.27,0.52
rule_poisoned_high_rate_replay,0.2944,0.2452,0.25,46.55,0.53
rule_high_StNum_stDiff_and_StNum,0.2949,0.7991,0.14,230.14,0.7
rule_high_StNum_cb_status_timestamp_diff_frame_length_diff_anomalous,0.2953,0.2193,0.24,41.27,0.55
rule_masquerade_fake_normal_desvio_significativo_tráfego_normal,0.2956,0.2371,0.229,34.78,0.62
rule_grayhole_timestampdiff_zero,0.2967,1.8457,0.14,795.39,0.63
rule_random_replay_st_num_incremento_anomalo,0.297,0.3891,0.169,116.04,0.64
rule_injection_combined,0.3004,0.2921,0.15,46.15,0.69
rule_high_StNum_falsification_state,0.3015,0.6798,0.239,280.04,0.6
rule_inverse_replay_deviation,0.3019,0.2122,0.24,23.86,0.62
rule_injection_incrementos_anomais_em_sequencia,0.3024,0.26,0.249,48.329,0.58
rule_high_StNum_falsification,0.3067,1.0997,0.23,337.081,0.571
rule_poisoned_high_rate_reset_pattern,0.3089,0.8891,0.26,308.931,0.65
rule_high_StNum_sqnum_reset_pattern,0.3097,0.2387,0.24,25.18,0.65
rule_random_replay_timestamp_anomaly,0.3105,0.6523,0.149,194.65,0.65
rule_inverse_replay_pattern_alternance,0.3107,0.6739,0.229,252.53,0.62
rule_injection_sqnum_reset_pattern,0.3115,0.4582,0.22,109.09,0.69
rule_high_StNum_temporal_pattern,0.3128,1.6258,0.18,558.7,0.68
rule_injection_valores_que_nunca_aparecem_no_trafego_normal,0.3141,0.2464,0.27,25.37,0.61
rule_grayhole_stnum_zero,0.3141,2.1576,0.18,619.92,0.6
rule_high_StNum_cb_status_go_id_apdu_size_diff,0.3152,0.7235,0.24,291.97,0.67
rule_high_StNum_falsification_sqnum,0.3164,0.4657,0.269,177.97,0.56
rule_random_replay_cb_status_alterado,0.3197,3.4921,0.21,860.14,0.5705
rule_inverse_replay_jumps_stnum_time_diff,0.3207,0.9634,0.24,357.03,0.65
rule_high_StNum_replay_pattern,0.3222,1.0117,0.22,437.07,0.69
rule_random_replay_sq_num_incremento_anomalia,0.3242,4.0292,0.149,1511.631,0.65
rule_random_replay_timestamp_diff_pequeno,0.3242,2.9308,0.21,948.18,0.63
rule_inverse_replay_pacotes_frame_length_diff_grande,0.3255,1.6956,0.15,595.58,0.68
rule_masquerade_fake_fault_frequencia,0.3266,2.7169,0.15,945.09,0.651
rule_inverse_replay_pacotes_tdiff_grande,0.3278,1.7643,0.209,763.46,0.62
rule_masquerade_fake_fault_combination_anomaly,0.3282,3.0581,0.21,1298.51,0.769
rule_grayhole_injection_forged_packets,0.3297,0.5219,0.26,91.56,0.709
rule_masquerade_fake_fault_combined,0.3315,0.7834,0.169,312.86,1.04
rule_masquerade_fake_fault_sqnum_reset_pattern,0.3317,0.3849,0.249,116.861,0.64
rule_masquerade_fake_fault_flood,0.3322,1.8606,0.149,619.03,0.67
rule_poisoned_high_rate_timefromlastchange,0.3331,3.6621,0.16,1099.91,0.69
rule_masquerade_fake_normal_combined,0.334,0.7824,0.16,290.73,0.71
rule_grayhole_frame_length_diff_out_of_range,0.3349,0.6038,0.15,137.87,0.73
rule_injection_replay_exata_de_pacotes_antigos,0.3375,0.2971,0.25,32.04,0.81
rule_random_replay_delay_anomalia,0.3377,2.8985,0.16,777.791,0.67
rule_grayhole_timestamp_diff_out_of_range,0.3387,1.7289,0.22,660.67,0.68
rule_high_StNum_injection_forged_packets,0.3397,0.5184,0.28,129.55,0.68
rule_random_replay_stnum_sqnum_mismatch,0.3411,0.7709,0.24,239.52,0.67
rule_inverse_replay_replay,0.3421,0.2979,0.23,30.1,0.79
rule_inverse_replay_combined,0.3423,0.353,0.269,104.37,0.67
rule_inverse_replay_padrao_alternancia,0.3434,0.3605,0.289,71.99,0.66
rule_inverse_replay_mudanca_anomala_gooselengthdiff_apdusize,0.3436,4.535,0.189,1377.11,0.76
rule_random_replay_replay_exato,0.3466,0.332,0.21,59.56,0.7
rule_high_StNum_cb_status_timestamp_diff_delay_anomalous,0.3525,0.8236,0.23,319.14,0.87
rule_random_replay_replay,0.3532,0.9885,0.28,287.23,0.71
rule_masquerade_fake_normal_replay,0.3541,0.687,0.28,262.29,0.71
rule_masquerade_fake_fault_replay,0.3593,0.973,0.26,360.88,0.73
rule_grayhole_cbstatus_change,0.3595,0.7095,0.17,256.97,0.75
rule_random_replay_st_num_incremento_anomalia,0.3626,1.9826,0.149,689.61,0.69
rule_masquerade_fake_fault_grayhole,0.3642,7.4237,0.22,2020.11,0.65
rule_poisoned_high_rate_combination,0.3647,0.3064,0.269,27.62,0.83
rule_random_replay_jumps_stnum_time_diff,0.3653,0.7991,0.3,289.88,0.71
rule_poisoned_high_rate_sqnum_reset_pattern,0.3669,0.2437,0.309,40.6,0.69
rule_poisoned_high_rate_combined,0.3705,1.7946,0.21,775.4,0.78
rule_grayhole_suspicious_sqnum,0.373,3.9665,0.14,1216.491,0.751
rule_high_StNum_injection,0.3781,1.5315,0.28,619.83,0.79
rule_random_replay_sqnum_reset_pattern,0.381,0.83,0.29,338.89,0.78
rule_random_replay_large_stdiff,0.3858,4.0336,0.15,1636.11,0.72
rule_inverse_replay_frequencia_irregular_mudanca_delay,0.3929,2.9884,0.2,997.001,0.72
rule_poisoned_high_rate_tdiff,0.3975,1.3662,0.149,411.47,0.83
rule_grayhole_delay_out_of_range,0.3986,4.9936,0.16,1306.46,2.32
rule_grayhole_ethsrc_dst_change,0.4024,2.1517,0.289,468.47,0.65
rule_poisoned_high_rate_injection_forged_packets,0.403,0.3727,0.3,69.25,0.91
rule_poisoned_high_rate_injection,0.4037,0.3031,0.32,32.571,0.811
rule_random_replay_large_sqdiff,0.4175,6.2266,0.149,1418.35,0.73
rule_poisoned_high_rate_jumps_stnum_time_diff,0.4222,1.0295,0.32,374.281,0.889
rule_masquerade_fake_fault_combination2,0.4278,1.4801,0.32,632.05,0.69
rule_masquerade_fake_fault_combination,0.4312,1.8067,0.209,470.24,0.76
rule_random_replay_flood,0.4381,0.4711,0.26,159.24,0.85
rule_masquerade_fake_fault_combination3,0.4462,2.3098,0.3,608.53,0.751
rule_grayhole_tdiff_nonzero,0.4551,6.2377,0.14,2025.9,0.84
rule_masquerade_fake_fault_falsification_consistente,0.4556,2.0681,0.22,720.54,0.82
rule_grayhole_sqnum_stnum_jumps,0.4628,5.6843,0.29,2030.38,0.82
rule_masquerade_fake_fault_falsification,0.4785,3.6608,0.35,1291.43,0.7
rule_random_replay_combined,0.485,1.1189,0.2,396.05,1.071
rule_grayhole_replay,0.4969,2.3775,0.289,793.43,0.92
rule_high_StNum_falsification_pattern,0.4972,1.5024,0.29,545.16,0.93
rule_masquerade_fake_fault_estatistica,0.5775,5.1882,0.2,1531.18,0.98
