sample_index,true_class,grayhole,high_StNum,injection,inverse_replay,masquerade_fake_fault,masquerade_fake_normal,normal,poisoned_high_rate,random_replay
70,random_replay,1,1,1,1,1,1,1,1,1
71,random_replay,1,1,1,1,1,1,1,1,1
72,high_StNum,1,1,1,1,1,1,1,1,1
73,injection,1,1,1,1,1,1,1,1,1
74,random_replay,1,1,1,1,1,1,1,1,1
75,random_replay,1,1,1,1,1,1,1,1,1
76,high_StNum,1,1,1,1,1,1,1,1,1
77,high_StNum,1,1,1,1,1,1,1,1,1
78,normal,1,0,1,1,1,1,1,1,1
79,random_replay,1,0,1,1,1,1,1,1,1
80,random_replay,1,0,1,1,1,1,1,1,1
81,normal,1,0,1,1,1,1,1,1,1
82,grayhole,1,0,1,1,1,1,1,0,1
83,injection,1,1,1,1,1,1,1,1,1
84,injection,1,1,1,1,1,1,1,1,1
85,high_StNum,1,1,1,1,1,1,1,1,1
86,high_StNum,1,1,1,1,1,1,1,1,1
87,injection,1,1,1,1,1,1,1,1,1
88,normal,1,0,1,1,1,1,1,1,1
89,normal,1,0,1,1,1,1,1,1,1
90,grayhole,1,0,1,1,1,1,1,0,1
91,high_StNum,1,1,1,1,1,1,1,1,1
92,injection,1,1,1,1,1,1,1,1,1
93,injection,1,1,1,1,1,1,1,1,1
94,injection,1,1,1,1,1,1,1,1,1
95,normal,1,0,1,1,1,1,1,1,1
96,injection,1,1,1,1,1,1,1,1,1
97,normal,1,0,1,1,1,1,1,1,1
98,grayhole,1,0,1,1,1,1,1,0,1
99,random_replay,1,0,1,1,1,1,1,1,1
100,high_StNum,1,1,1,1,1,1,1,1,1
101,normal,1,0,1,1,1,1,1,1,1
102,injection,1,1,1,1,1,1,1,1,1
103,normal,1,0,1,1,1,1,1,1,1
104,grayhole,1,0,1,1,1,1,1,0,1
105,random_replay,1,0,1,1,1,1,1,1,1
106,injection,1,1,1,1,1,1,1,1,1
107,normal,1,0,1,1,1,1,1,1,1
108,normal,1,0,1,1,1,1,1,1,1
109,grayhole,1,0,1,1,1,1,1,0,1
110,random_replay,1,0,1,1,1,1,1,1,1
111,injection,1,1,1,1,1,1,1,1,1
112,random_replay,1,1,1,1,1,1,1,1,1
113,normal,1,0,1,1,1,1,1,1,1
114,injection,1,1,1,1,1,1,1,1,1
115,high_StNum,1,1,1,1,1,1,1,1,1
116,normal,1,0,1,1,1,1,1,1,1
117,grayhole,1,0,1,1,1,1,1,0,1
118,high_StNum,1,1,1,1,1,1,1,1,1
119,high_StNum,1,1,1,1,1,1,1,1,1
120,high_StNum,1,1,1,1,1,1,1,1,1
121,injection,1,1,1,1,1,1,1,1,1
122,normal,1,0,1,1,1,1,1,1,1
123,random_replay,1,0,1,1,1,1,1,1,1
124,injection,1,1,1,1,1,1,1,1,1
125,high_StNum,1,1,1,1,1,1,1,1,1
126,normal,1,0,1,1,1,1,1,1,1
127,grayhole,1,0,1,1,1,1,1,0,1
128,injection,1,1,1,1,1,1,1,1,1
129,random_replay,1,0,1,1,1,1,1,1,1
130,injection,1,1,1,1,1,1,1,1,1
131,random_replay,1,1,1,1,1,1,1,1,1
132,random_replay,1,0,1,1,1,1,1,1,1
133,normal,1,0,1,1,1,1,1,1,1
134,high_StNum,1,1,1,1,1,1,1,1,1
135,injection,1,1,1,1,1,1,1,1,1
136,injection,1,1,1,1,1,1,1,1,1
137,normal,1,0,1,1,1,1,1,1,1
138,grayhole,1,0,1,1,1,1,1,0,1
139,injection,1,1,1,1,1,1,1,1,1
140,normal,1,0,1,1,1,1,1,1,1
141,normal,1,0,1,1,1,1,1,1,1
142,grayhole,1,0,1,1,1,1,1,0,1
143,injection,1,1,1,1,1,1,1,1,1
144,injection,1,1,1,1,1,1,1,1,1
145,injection,1,1,1,1,1,1,1,1,1
146,normal,1,0,1,1,1,1,1,1,1
147,high_StNum,1,1,1,1,1,1,1,1,1
148,high_StNum,1,1,1,1,1,1,1,1,1
149,normal,1,0,1,1,1,1,1,1,1
150,grayhole,1,0,1,1,1,1,1,0,1
151,injection,1,1,1,1,1,1,1,1,1
152,injection,1,1,1,1,1,1,1,1,1
153,high_StNum,1,1,1,1,1,1,1,1,1
154,injection,1,1,1,1,1,1,1,1,1
155,high_StNum,1,1,1,1,1,1,1,1,1
156,injection,1,1,1,1,1,1,1,1,1
157,injection,1,1,1,1,1,1,1,1,1
158,normal,1,0,1,1,1,1,1,1,1
159,normal,1,0,1,1,1,1,1,1,1
160,grayhole,1,0,1,1,1,1,1,0,1
161,normal,1,0,1,1,1,1,1,1,1
162,injection,1,1,1,1,1,1,1,1,1
163,normal,1,0,1,1,1,1,1,1,1
164,grayhole,1,0,1,1,1,1,1,0,1
165,high_StNum,1,1,1,1,1,1,1,1,1
166,injection,1,1,1,1,1,1,1,1,1
167,injection,1,1,1,1,1,1,1,1,1
168,high_StNum,1,1,1,1,1,1,1,1,1
169,normal,1,0,1,1,1,1,1,1,1
170,normal,1,0,1,1,1,1,1,1,1
171,grayhole,1,0,1,1,1,1,1,0,1
172,high_StNum,1,1,1,1,1,1,1,1,1
173,random_replay,1,0,1,1,1,1,1,1,1
174,random_replay,1,0,1,1,1,1,1,1,1
175,normal,1,0,1,1,1,1,1,1,1
176,random_replay,1,0,1,1,1,1,1,1,1
177,random_replay,1,0,1,1,1,1,1,1,1
178,normal,1,0,1,1,1,1,1,1,1
179,grayhole,1,0,1,1,1,1,1,0,1
180,random_replay,1,0,1,1,1,1,1,1,1
181,injection,1,1,1,1,1,1,1,1,1
182,injection,1,1,1,1,1,1,1,1,1
183,random_replay,1,0,1,1,1,1,1,1,1
184,normal,1,0,1,1,1,1,1,1,1
185,normal,1,0,1,1,1,1,1,1,1
186,grayhole,1,0,1,1,1,1,1,0,1
187,random_replay,1,0,1,1,1,1,1,1,1
188,normal,1,0,1,1,1,1,1,1,1
189,injection,1,1,1,1,1,1,1,1,1
190,random_replay,1,0,1,1,1,1,1,1,1
191,random_replay,1,0,1,1,1,1,1,1,1
192,high_StNum,1,1,1,1,1,1,1,1,1
193,normal,1,0,1,1,1,1,1,1,1
194,grayhole,1,0,1,1,1,1,1,0,1
195,random_replay,1,0,1,1,1,1,1,1,1
196,injection,1,1,1,1,1,1,1,1,1
197,injection,1,1,1,1,1,1,1,1,1
198,injection,1,1,1,1,1,1,1,1,1
199,normal,1,0,1,1,1,1,1,1,1
200,random_replay,1,0,1,1,1,1,1,1,1
201,random_replay,1,0,1,1,1,1,1,1,1
202,normal,1,0,1,1,1,1,1,1,1
203,grayhole,1,0,1,1,1,1,1,0,1
204,random_replay,1,0,1,1,1,1,1,1,1
205,normal,1,0,1,1,1,1,1,1,1
206,high_StNum,1,1,1,1,1,1,1,1,1
207,normal,1,0,1,1,1,1,1,1,1
208,grayhole,1,0,1,1,1,1,1,0,1
209,high_StNum,1,1,1,1,1,1,1,1,1
210,high_StNum,1,1,1,1,1,1,1,1,1
211,normal,1,0,1,1,1,1,1,1,1
212,injection,1,1,1,1,1,1,1,1,1
213,high_StNum,1,1,1,1,1,1,1,1,1
214,normal,1,0,1,1,1,1,1,1,1
215,grayhole,1,0,1,1,1,1,1,0,1
216,high_StNum,1,1,1,1,1,1,1,1,1
217,injection,1,1,1,1,1,1,1,1,1
218,normal,1,0,1,1,1,1,1,1,1
219,injection,1,1,1,1,1,1,1,1,1
220,injection,1,1,1,1,1,1,1,1,1
221,normal,1,0,1,1,1,1,1,1,1
222,grayhole,1,0,1,1,1,1,1,0,1
223,injection,1,1,1,1,1,1,1,1,1
224,high_StNum,1,1,1,1,1,1,1,1,1
225,normal,1,0,1,1,1,1,1,1,1
226,random_replay,1,0,1,1,1,1,1,1,1
227,high_StNum,1,1,1,1,1,1,1,1,1
228,normal,1,0,1,1,1,1,1,1,1
229,grayhole,1,0,1,1,1,1,1,0,1
230,high_StNum,1,1,1,1,1,1,1,1,1
231,normal,1,0,1,1,1,1,1,1,1
232,normal,1,0,1,1,1,1,1,1,1
233,grayhole,1,0,1,1,1,1,1,0,1
234,injection,1,1,1,1,1,1,1,1,1
235,injection,1,1,1,1,1,1,1,1,1
236,normal,1,0,1,1,1,1,1,1,1
237,injection,1,1,1,1,1,1,1,1,1
238,normal,1,0,1,1,1,1,1,1,1
239,grayhole,1,0,1,1,1,1,1,0,1
240,injection,1,1,1,1,1,1,1,1,1
241,injection,1,1,1,1,1,1,1,1,1
242,injection,1,1,1,1,1,1,1,1,1
243,normal,1,0,1,1,1,1,1,1,1
244,high_StNum,1,1,1,1,1,1,1,1,1
245,high_StNum,1,1,1,1,1,1,1,1,1
246,normal,1,1,1,1,1,1,1,1,1
247,grayhole,1,1,1,1,1,1,1,1,1
248,normal,1,1,1,1,1,1,1,1,1
249,grayhole,1,1,1,1,1,1,1,1,1
250,normal,1,1,1,1,1,1,1,1,1
251,grayhole,1,1,1,1,1,1,1,1,1
252,normal,1,0,1,1,1,1,1,1,1
253,grayhole,1,0,1,1,1,1,1,0,1
254,normal,1,1,1,1,1,1,1,1,1
255,grayhole,1,1,1,1,1,1,1,1,1
256,random_replay,1,0,1,1,1,1,1,1,1
257,random_replay,1,0,1,1,1,1,1,1,1
258,normal,1,1,1,1,1,1,1,1,1
259,grayhole,1,1,1,1,1,1,1,0,1
260,normal,1,1,1,1,1,1,1,1,1
261,grayhole,1,1,1,1,1,1,1,0,1
262,normal,1,1,1,1,1,1,1,1,1
263,grayhole,1,1,1,1,1,1,1,0,1
264,normal,1,1,1,1,1,1,1,1,1
265,grayhole,1,1,1,1,1,1,1,0,1
266,high_StNum,1,1,1,1,1,1,1,1,1
267,normal,1,1,1,1,1,1,1,1,1
268,grayhole,1,1,1,1,1,1,1,0,1
269,injection,1,1,1,1,1,1,1,1,1
270,normal,1,0,1,1,1,1,1,1,1
271,injection,1,1,1,1,1,1,1,1,1
272,injection,1,1,1,1,1,1,1,1,1
273,high_StNum,1,1,1,1,1,1,1,1,1
274,normal,1,0,1,1,1,1,1,1,1
275,grayhole,1,0,1,1,1,1,1,0,1
276,random_replay,1,0,1,1,1,1,1,1,1
277,high_StNum,1,1,1,1,1,1,1,1,1
278,normal,1,0,1,1,1,1,1,1,1
279,high_StNum,1,1,1,1,1,1,1,1,1
280,high_StNum,1,1,1,1,1,1,1,1,1
281,normal,1,0,1,1,1,1,1,1,1
282,grayhole,1,0,1,1,1,1,1,0,1
283,high_StNum,1,1,1,1,1,1,1,1,1
284,normal,1,0,1,1,1,1,1,1,1
285,random_replay,1,0,1,1,1,1,1,1,1
286,normal,1,0,1,1,1,1,1,1,1
287,grayhole,1,0,1,1,1,1,1,0,1
288,random_replay,1,0,1,1,1,1,1,1,1
289,high_StNum,1,1,1,1,1,1,1,1,1
290,normal,1,0,1,1,1,1,1,1,1
291,injection,1,1,1,1,1,1,1,1,1
292,normal,1,0,1,1,1,1,1,1,1
293,grayhole,1,0,1,1,1,1,1,0,1
294,high_StNum,1,1,1,1,1,1,1,1,1
295,normal,1,0,1,1,1,1,1,1,1
296,random_replay,1,0,1,1,1,1,1,1,1
297,normal,1,0,1,1,1,1,1,1,1
298,grayhole,1,0,1,1,1,1,1,0,1
299,random_replay,1,0,1,1,1,1,1,1,1
300,random_replay,1,0,1,1,1,1,1,1,1
301,injection,1,1,1,1,1,1,1,1,1
302,normal,1,0,1,1,1,1,1,1,1
303,injection,1,1,1,1,1,1,1,1,1
304,random_replay,1,0,1,1,1,1,1,1,1
305,random_replay,1,0,1,1,1,1,1,1,1
306,injection,1,1,1,1,1,1,1,1,1
307,high_StNum,1,1,1,1,1,1,1,1,1
308,normal,1,0,1,1,1,1,1,1,1
309,grayhole,1,0,1,1,1,1,1,0,1
310,high_StNum,1,1,1,1,1,1,1,1,1
311,normal,1,0,1,1,1,1,1,1,1
312,injection,1,1,1,1,1,1,1,1,1
313,random_replay,1,0,1,1,1,1,1,1,1
314,injection,1,1,1,1,1,1,1,1,1
315,high_StNum,1,1,1,1,1,1,1,1,1
316,normal,1,0,1,1,1,1,1,1,1
317,grayhole,1,0,1,1,1,1,1,0,1
318,injection,1,1,1,1,1,1,1,1,1
319,injection,1,1,1,1,1,1,1,1,1
320,normal,1,0,1,1,1,1,1,1,1
321,high_StNum,1,1,1,1,1,1,1,1,1
322,high_StNum,1,1,1,1,1,1,1,1,1
323,random_replay,1,0,1,1,1,1,1,1,1
324,high_StNum,1,1,1,1,1,1,1,1,1
325,normal,1,0,1,1,1,1,1,1,1
326,grayhole,1,0,1,1,1,1,1,0,1
327,random_replay,1,0,1,1,1,1,1,1,1
328,normal,1,0,1,1,1,1,1,1,1
329,high_StNum,1,1,1,1,1,1,1,1,1
330,random_replay,1,0,1,1,1,1,1,1,1
331,high_StNum,1,1,1,1,1,1,1,1,1
332,normal,1,0,1,1,1,1,1,1,1
333,grayhole,1,0,1,1,1,1,1,0,1
334,high_StNum,1,1,1,1,1,1,1,1,1
335,normal,1,0,1,1,1,1,1,1,1
336,injection,1,1,1,1,1,1,1,1,1
337,normal,1,0,1,1,1,1,1,1,1
338,grayhole,1,0,1,1,1,1,1,0,1
339,high_StNum,1,1,1,1,1,1,1,1,1
340,normal,1,0,1,1,1,1,1,1,1
341,injection,1,1,1,1,1,1,1,1,1
342,high_StNum,1,1,1,1,1,1,1,1,1
343,random_replay,1,0,1,1,1,1,1,1,1
344,injection,1,1,1,1,1,1,1,1,1
345,normal,1,0,1,1,1,1,1,1,1
346,grayhole,1,0,1,1,1,1,1,0,1
347,injection,1,1,1,1,1,1,1,1,1
348,normal,1,0,1,1,1,1,1,1,1
349,injection,1,1,1,1,1,1,1,1,1
350,high_StNum,1,1,1,1,1,1,1,1,1
351,random_replay,1,0,1,1,1,1,1,1,1
352,normal,1,0,1,1,1,1,1,1,1
353,grayhole,1,0,1,1,1,1,1,0,1
354,injection,1,0,1,1,1,1,1,1,1
355,high_StNum,1,1,1,1,1,1,1,1,1
356,normal,1,0,1,1,1,1,1,1,1
357,normal,1,0,1,1,1,1,1,1,1
358,grayhole,1,0,1,1,1,1,1,0,1
359,injection,1,1,1,1,1,1,1,1,1
360,normal,1,0,1,1,1,1,1,1,1
361,normal,1,0,1,1,1,1,1,1,1
362,grayhole,1,0,1,1,1,1,1,0,1
363,normal,1,0,1,1,1,1,1,1,1
364,high_StNum,1,1,1,1,1,1,1,1,1
365,normal,1,0,1,1,1,1,1,1,1
366,grayhole,1,0,1,1,1,1,1,0,1
367,normal,1,0,1,1,1,1,1,1,1
368,normal,1,0,1,1,1,1,1,1,1
369,grayhole,1,0,1,1,1,1,1,0,1
370,random_replay,1,0,1,1,1,1,1,1,1
371,high_StNum,1,1,1,1,1,1,1,1,1
372,normal,1,0,1,1,1,1,1,1,1
373,high_StNum,1,1,1,1,1,1,1,1,1
374,injection,1,1,1,1,1,1,1,1,1
375,normal,1,0,1,1,1,1,1,1,1
376,grayhole,1,0,1,1,1,1,1,0,1
377,injection,1,1,1,1,1,1,1,1,1
378,normal,1,0,1,1,1,1,1,1,1
379,injection,1,1,1,1,1,1,1,1,1
380,normal,1,0,1,1,1,1,1,1,1
381,grayhole,1,0,1,1,1,1,1,0,1
382,high_StNum,1,1,1,1,1,1,1,1,1
383,normal,1,0,1,1,1,1,1,1,1
384,normal,1,0,1,1,1,1,1,1,1
385,grayhole,1,0,1,1,1,1,1,0,1
386,injection,1,1,1,1,1,1,1,1,1
387,normal,1,0,1,1,1,1,1,1,1
388,random_replay,1,0,1,1,1,1,1,1,1
389,injection,1,1,1,1,1,1,1,1,1
390,injection,1,1,1,1,1,1,1,1,1
391,normal,1,0,1,1,1,1,1,1,1
392,grayhole,1,0,1,1,1,1,1,0,1
393,injection,1,1,1,1,1,1,1,1,1
394,random_replay,1,0,1,1,1,1,1,1,1
395,normal,1,0,1,1,1,1,1,1,1
396,injection,1,1,1,1,1,1,1,1,1
397,random_replay,1,0,1,1,1,1,1,1,1
398,random_replay,1,0,1,1,1,1,1,1,1
399,normal,1,0,1,1,1,1,1,1,1
400,grayhole,1,0,1,1,1,1,1,0,1
401,random_replay,1,0,1,1,1,1,1,1,1
402,random_replay,1,0,1,1,1,1,1,1,1
403,normal,1,0,1,1,1,1,1,1,1
404,high_StNum,1,1,1,1,1,1,1,1,1
405,injection,1,1,1,1,1,1,1,1,1
406,random_replay,1,0,1,1,1,1,1,1,1
407,normal,1,0,1,1,1,1,1,1,1
408,grayhole,1,0,1,1,1,1,1,0,1
409,normal,1,0,1,1,1,1,1,1,1
410,random_replay,1,0,1,1,1,1,1,1,1
411,high_StNum,1,1,1,1,1,1,1,1,1
412,high_StNum,1,1,1,1,1,1,1,1,1
413,normal,1,0,1,1,1,1,1,1,1
414,grayhole,1,0,1,1,1,1,1,0,1
415,injection,1,1,1,1,1,1,1,1,1
416,random_replay,1,0,1,1,1,1,1,1,1
417,injection,1,1,1,1,1,1,1,1,1
418,injection,1,0,1,1,1,1,1,1,1
419,normal,1,0,1,1,1,1,1,1,1
420,injection,1,1,1,1,1,1,1,1,1
421,high_StNum,1,1,1,1,1,1,1,1,1
422,injection,1,1,1,1,1,1,1,1,1
423,normal,1,0,1,1,1,1,1,1,1
424,grayhole,1,0,1,1,1,1,1,0,1
425,random_replay,1,0,1,1,1,1,1,1,1
426,injection,1,1,1,1,1,1,1,1,1
427,normal,1,0,1,1,1,1,1,1,1
428,random_replay,1,0,1,1,1,1,1,1,1
429,high_StNum,1,1,1,1,1,1,1,1,1
430,random_replay,1,0,1,1,1,1,1,1,1
431,normal,1,0,1,1,1,1,1,1,1
432,grayhole,1,0,1,1,1,1,1,0,1
433,injection,1,1,1,1,1,1,1,1,1
434,high_StNum,1,1,1,1,1,1,1,1,1
435,high_StNum,1,1,1,1,1,1,1,1,1
436,injection,1,1,1,1,1,1,1,1,1
437,normal,1,0,1,1,1,1,1,1,1
438,high_StNum,1,1,1,1,1,1,1,1,1
439,injection,1,1,1,1,1,1,1,1,1
440,injection,1,1,1,1,1,1,1,1,1
441,normal,1,0,1,1,1,1,1,1,1
442,grayhole,1,0,1,1,1,1,1,0,1
443,injection,1,1,1,1,1,1,1,1,1
444,high_StNum,1,1,1,1,1,1,1,1,1
445,normal,1,0,1,1,1,1,1,1,1
446,random_replay,1,0,1,1,1,1,1,1,1
447,high_StNum,1,1,1,1,1,1,1,1,1
448,normal,1,0,1,1,1,1,1,1,1
449,grayhole,1,0,1,1,1,1,1,0,1
450,normal,1,0,1,1,1,1,1,1,1
451,high_StNum,1,1,1,1,1,1,1,1,1
452,high_StNum,1,1,1,1,1,1,1,1,1
453,normal,1,0,1,1,1,1,1,1,1
454,grayhole,1,0,1,1,1,1,1,0,1
455,high_StNum,1,1,1,1,1,1,1,1,1
456,injection,1,1,1,1,1,1,1,1,1
457,normal,1,0,1,1,1,1,1,1,1
458,random_replay,1,0,1,1,1,1,1,1,1
459,injection,1,1,1,1,1,1,1,1,1
460,random_replay,1,0,1,1,1,1,1,1,1
461,normal,1,0,1,1,1,1,1,1,1
462,grayhole,1,0,1,1,1,1,1,0,1
463,normal,1,0,1,1,1,1,1,1,1
464,injection,1,1,1,1,1,1,1,1,1
465,injection,1,1,1,1,1,1,1,1,1
466,normal,1,0,1,1,1,1,1,1,1
467,grayhole,1,0,1,1,1,1,1,0,1
468,high_StNum,1,1,1,1,1,1,1,1,1
469,random_replay,1,0,1,1,1,1,1,1,1
470,normal,1,0,1,1,1,1,1,1,1
471,high_StNum,1,1,1,1,1,1,1,1,1
472,normal,1,0,1,1,1,1,1,1,1
473,grayhole,1,0,1,1,1,1,1,0,1
474,injection,1,1,1,1,1,1,1,1,1
475,normal,1,0,1,1,1,1,1,1,1
476,injection,1,1,1,1,1,1,1,1,1
477,high_StNum,1,1,1,1,1,1,1,1,1
478,high_StNum,1,1,1,1,1,1,1,1,1
479,normal,1,0,1,1,1,1,1,1,1
480,grayhole,1,0,1,1,1,1,1,0,1
481,normal,1,0,1,1,1,1,1,1,1
482,high_StNum,1,1,1,1,1,1,1,1,1
483,injection,1,1,1,1,1,1,1,1,1
484,high_StNum,1,1,1,1,1,1,1,1,1
485,normal,1,0,1,1,1,1,1,1,1
486,grayhole,1,0,1,1,1,1,1,0,1
487,random_replay,1,0,1,1,1,1,1,1,1
488,normal,1,0,1,1,1,1,1,1,1
489,normal,1,0,1,1,1,1,1,1,1
490,grayhole,1,0,1,1,1,1,1,0,1
491,normal,1,0,1,1,1,1,1,1,1
492,high_StNum,1,1,1,1,1,1,1,1,1
493,normal,1,0,1,1,1,1,1,1,1
494,grayhole,1,0,1,1,1,1,1,0,1
495,injection,1,1,1,1,1,1,1,1,1
496,injection,1,1,1,1,1,1,1,1,1
497,normal,1,0,1,1,1,1,1,1,1
498,injection,1,1,1,1,1,1,1,1,1
499,high_StNum,1,1,1,1,1,1,1,1,1
500,normal,1,0,1,1,1,1,1,1,1
501,grayhole,1,0,1,1,1,1,1,0,1
502,random_replay,1,0,1,1,1,1,1,1,1
503,normal,1,0,1,1,1,1,1,1,1
504,injection,1,1,1,1,1,1,1,1,1
505,normal,1,0,1,1,1,1,1,1,1
506,grayhole,1,0,1,1,1,1,1,0,1
507,high_StNum,1,1,1,1,1,1,1,1,1
508,normal,1,0,1,1,1,1,1,1,1
509,high_StNum,1,1,1,1,1,1,1,1,1
510,high_StNum,1,1,1,1,1,1,1,1,1
511,injection,1,1,1,1,1,1,1,1,1
512,random_replay,1,0,1,1,1,1,1,1,1
513,high_StNum,1,1,1,1,1,1,1,1,1
514,normal,1,0,1,1,1,1,1,1,1
515,grayhole,1,0,1,1,1,1,1,0,1
516,high_StNum,1,1,1,1,1,1,1,1,1
517,high_StNum,1,1,1,1,1,1,1,1,1
518,injection,1,1,1,1,1,1,1,1,1
519,normal,1,0,1,1,1,1,1,1,1
520,normal,1,0,1,1,1,1,1,1,1
521,grayhole,1,0,1,1,1,1,1,0,1
522,normal,1,0,1,1,1,1,1,1,1
523,injection,1,1,1,1,1,1,1,1,1
524,normal,1,0,1,1,1,1,1,1,1
525,grayhole,1,0,1,1,1,1,1,0,1
526,injection,1,1,1,1,1,1,1,1,1
527,normal,1,0,1,1,1,1,1,1,1
528,high_StNum,1,1,1,1,1,1,1,1,1
529,injection,1,1,1,1,1,1,1,1,1
530,normal,1,0,1,1,1,1,1,1,1
531,grayhole,1,0,1,1,1,1,1,0,1
532,random_replay,1,0,1,1,1,1,1,1,1
533,random_replay,1,0,1,1,1,1,1,1,1
534,normal,1,0,1,1,1,1,1,1,1
535,random_replay,1,0,1,1,1,1,1,1,1
536,high_StNum,1,1,1,1,1,1,1,1,1
537,random_replay,1,0,1,1,1,1,1,1,1
538,random_replay,1,0,1,1,1,1,1,1,1
539,normal,1,0,1,1,1,1,1,1,1
540,grayhole,1,0,1,1,1,1,1,0,1
541,injection,1,1,1,1,1,1,1,1,1
542,high_StNum,1,1,1,1,1,1,1,1,1
543,high_StNum,1,1,1,1,1,1,1,1,1
544,normal,1,0,1,1,1,1,1,1,1
545,high_StNum,1,1,1,1,1,1,1,1,1
546,random_replay,1,0,1,1,1,1,1,1,1
547,normal,1,0,1,1,1,1,1,1,1
548,grayhole,1,0,1,1,1,1,1,0,1
549,injection,1,1,1,1,1,1,1,1,1
550,injection,1,1,1,1,1,1,1,1,1
551,injection,1,1,1,1,1,1,1,1,1
552,normal,1,0,1,1,1,1,1,1,1
553,high_StNum,1,1,1,1,1,1,1,1,1
554,injection,1,1,1,1,1,1,1,1,1
555,high_StNum,1,1,1,1,1,1,1,1,1
556,normal,1,0,1,1,1,1,1,1,1
557,grayhole,1,0,1,1,1,1,1,0,1
558,injection,1,1,1,1,1,1,1,1,1
559,normal,1,0,1,1,1,1,1,1,1
560,random_replay,1,0,1,1,1,1,1,1,1
561,injection,1,1,1,1,1,1,1,1,1
562,high_StNum,1,1,1,1,1,1,1,1,1
563,high_StNum,1,1,1,1,1,1,1,1,1
564,normal,1,0,1,1,1,1,1,1,1
565,grayhole,1,0,1,1,1,1,1,0,1
566,injection,1,1,1,1,1,1,1,1,1
567,normal,1,0,1,1,1,1,1,1,1
568,injection,1,1,1,1,1,1,1,1,1
569,injection,1,1,1,1,1,1,1,1,1
570,high_StNum,1,1,1,1,1,1,1,1,1
571,normal,1,0,1,1,1,1,1,1,1
