Regra,Média (µs),DP (µs),Min (µs),Max (µs),P99 (µs)
rule_injection_timestamp_diff_anomaly,0.3487,0.3214,0.273,41.426,0.745
rule_masquerade_fake_normal_frequencia_anomalia_t_diff,0.3489,0.4959,0.268,95.729,0.702
rule_random_replay_large_sqdiff,0.349,0.7737,0.253,303.192,0.771
rule_masquerade_fake_fault_packet_frequency_anomaly_sequence,0.3497,0.8658,0.27,314.178,0.715
rule_poisoned_high_rate_sqnum,0.3507,0.4067,0.237,56.18,0.9
rule_random_replay_delay_anomalia,0.3509,0.8161,0.268,329.837,0.767
rule_random_replay_replay_consistente,0.3511,0.3301,0.266,54.139,0.723
rule_random_replay_frame_length_diff_incremento_anomalo,0.3512,0.3662,0.249,43.54,0.756
rule_grayhole_timestamp_diff_out_of_range,0.3518,0.3267,0.272,41.088,0.76
rule_grayhole_timediff,0.3519,0.4481,0.248,68.061,0.797
rule_grayhole_frame_length_diff_out_of_range,0.3525,1.378,0.262,560.08,0.741
rule_masquerade_fake_fault_flood,0.353,1.0872,0.254,407.298,0.773
rule_random_replay_timestamp_diff_incremento_anomalo,0.3536,1.5865,0.257,686.064,0.788
rule_masquerade_fake_fault_state_change_anomaly,0.3583,0.3993,0.27,75.663,0.712
rule_grayhole_tdiff_nonzero,0.359,0.7482,0.241,295.723,0.826
rule_random_replay_flood_rajada,0.3605,1.602,0.267,528.276,0.792
rule_random_replay_frame_length_diff_desvio,0.3609,0.4853,0.277,106.007,0.759
rule_random_replay_cb_status_diff_desvio,0.3611,0.8057,0.279,308.48,0.71
rule_random_replay_large_stdiff,0.3614,0.52,0.253,91.904,0.8485
rule_random_replay_timestamp_diff_desvio,0.3618,0.7435,0.286,297.701,0.738
rule_random_replay_cb_status_diff_frequencia_irregular,0.362,0.665,0.255,111.069,0.833
rule_random_replay_timestamp_diff_frequencia_irregular,0.3621,1.5606,0.254,624.133,0.812
rule_grayhole_timestampdiff_zero,0.3628,0.8248,0.234,316.317,0.804
rule_random_replay_st_num_incremento_anomalia,0.3638,0.5802,0.259,175.834,0.75
rule_inverse_replay_pacotes_timestamp_diff_pequeno,0.3662,1.3864,0.266,543.62,0.803
rule_high_StNum_StNum,0.3663,0.4698,0.245,75.032,0.844
rule_masquerade_fake_normal_high_stnum,0.3663,0.8174,0.259,305.125,0.8095
rule_random_replay_cb_status_diff_anomalia,0.3668,1.0627,0.263,400.291,0.816
rule_masquerade_fake_fault_time_difference_anomaly_sequence,0.3669,0.898,0.267,311.615,0.719
rule_inverse_replay_eth_src_dst,0.367,0.7583,0.29,233.198,0.735
rule_inverse_replay_pacotes_tdiff_grande,0.3672,1.2099,0.262,376.781,0.797
rule_grayhole_sqnum_jumps,0.3686,0.8786,0.268,315.187,0.776
rule_high_StNum_frequencia_pattern,0.369,1.7393,0.27,677.945,0.801
rule_injection_ethdst_falsification,0.3693,0.3948,0.295,56.284,0.734
rule_masquerade_fake_normal_frequencia_anomalia_estado_disjuntor,0.3696,1.6372,0.259,397.175,0.776
rule_random_replay_timestamp_anomaly,0.3697,0.8783,0.246,304.36,0.825
rule_masquerade_fake_normal_large_stdiff,0.371,0.7504,0.283,281.203,0.807
rule_masquerade_fake_fault_grayhole,0.3718,0.7143,0.272,171.188,0.807
rule_random_replay_apdu_size_diff_anomalia,0.3721,1.2251,0.273,406.816,0.813
rule_random_replay_timestamp_diff_pequeno,0.3724,1.5539,0.263,647.69,0.816
rule_masquerade_fake_fault_time_difference_anomaly,0.375,1.4683,0.268,624.449,0.789
rule_inverse_replay_timestamp_diff,0.375,0.8411,0.267,317.222,0.773
rule_grayhole_delay_replay,0.3758,0.6004,0.277,206.101,0.78
rule_poisoned_high_rate_tdiff,0.3766,0.3878,0.26,34.668,0.859
rule_masquerade_fake_normal_large_sqdiff,0.3791,1.154,0.286,369.056,0.83
rule_grayhole_cbstatus_change_sense,0.3809,0.3936,0.27,61.587,0.857
rule_grayhole_irregular_intervals,0.3819,1.2399,0.273,403.391,0.848
rule_poisoned_high_rate_timefromlastchange,0.3827,1.4053,0.266,494.054,0.885
rule_masquerade_fake_fault_frequency_anomaly,0.3845,1.6032,0.269,572.455,0.816
rule_grayhole_tdif_replay,0.3847,0.8454,0.275,293.424,0.785
rule_random_replay_apdu_size_diff_desvio,0.385,1.8004,0.279,688.942,0.78
rule_injection_ethsrc_falsification,0.3877,1.538,0.288,610.1,0.833
rule_grayhole_sqnum,0.3878,1.9223,0.253,831.812,0.887
rule_random_replay_sq_num_incremento_anomalo,0.3896,0.7872,0.296,314.041,0.771
rule_grayhole_cbstatus_change_sense_sequence,0.3898,1.4736,0.273,599.912,0.875
rule_inverse_replay_desvio_significativo,0.3909,0.7909,0.295,309.869,0.876
rule_grayhole_injection,0.3923,1.3367,0.297,561.209,0.795
rule_grayhole_suspicious_sqnum,0.3946,1.5456,0.24,631.295,0.931
rule_poisoned_high_rate_combined,0.3957,1.3796,0.266,571.48,0.92
rule_grayhole_frame_length_diff_change_sense,0.3964,0.8223,0.313,298.277,0.824
rule_random_replay_cb_status_diff_alternancia,0.3968,0.8915,0.258,337.538,0.892
rule_grayhole_cbstatus_falsification,0.3988,1.1221,0.268,398.586,0.876
rule_grayhole_frame_length_diff,0.3991,0.9273,0.308,323.847,0.877
rule_grayhole_tdif_change_sense_sequence,0.4014,0.3832,0.277,43.775,0.885
rule_grayhole_goose_length_diff_injection,0.4019,0.7132,0.314,192.014,0.843
rule_grayhole_goose_length_diff_change_sense_sequence,0.402,0.9083,0.314,308.69,0.82
rule_poisoned_high_rate_stnum,0.4024,0.8823,0.267,305.431,0.928
rule_masquerade_fake_normal_zero_timestampdiff,0.4026,0.5889,0.255,96.846,1.2915
rule_grayhole_sqnum_stnum_change_sense_sequence,0.4032,0.8355,0.281,294.404,0.947
rule_high_StNum_flood_pattern,0.4033,1.0738,0.306,375.942,0.8965
rule_grayhole_tdif_change_sense,0.4054,1.2984,0.275,374.291,0.89
rule_inverse_replay_frequency_irregular,0.4059,0.5023,0.269,113.766,0.923
rule_grayhole_goose_length_diff_change_sense,0.4059,1.3995,0.314,572.078,0.899
rule_inverse_replay_time_diff,0.4063,0.3449,0.334,42.236,0.825
rule_masquerade_fake_fault_falsification_disjuntor_consistent_sequence,0.4064,0.4108,0.309,78.299,0.834
rule_inverse_replay_cb_status_diff,0.4069,0.4339,0.328,86.09,0.835
rule_masquerade_fake_normal_frequencia_anomalia_cb_status_go_id,0.4069,0.4669,0.308,104.384,0.845
rule_injection_cb_status_alterado,0.4085,0.6179,0.309,108.515,0.861
rule_masquerade_fake_fault_sqdiff,0.4119,0.6233,0.286,155.789,0.902
rule_grayhole_sqnum_stnum_change_sense,0.4128,0.5491,0.281,95.155,0.969
rule_random_replay_st_num_incremento_anomalo,0.4138,1.5609,0.301,633.605,0.826
rule_inverse_replay_mudanca_anomala_gooselengthdiff_apdusize,0.4155,0.8701,0.332,323.191,0.823
rule_injection_rajada_de_pacotes_em_intervalo_muito_curto,0.4161,0.9268,0.309,337.445,0.912
rule_grayhole_frame_length_diff_injection,0.417,1.4409,0.309,555.133,0.929
rule_random_replay_masquerade_falsificacao,0.4175,0.7999,0.339,311.499,0.81
rule_grayhole_frame_length_diff_change_sense_sequence,0.4178,0.8976,0.31,212.845,0.948
rule_grayhole_ethsrc_dst_change,0.419,0.808,0.353,321.483,0.768
rule_grayhole_anomalous_frequency,0.4203,1.1599,0.31,308.538,0.898
rule_grayhole_timefromlastchange_change_sense_sequence,0.4222,1.6494,0.271,688.46,0.968
rule_inverse_replay_grayhole,0.4242,1.5084,0.308,616.737,0.874
rule_inverse_replay_replay_old_packets,0.4245,2.36,0.318,979.137,0.846
rule_grayhole_stnum,0.4246,1.2887,0.241,149.841,0.873
rule_inverse_replay_sqnum_stnum,0.4263,1.4642,0.308,587.46,0.867
rule_masquerade_fake_normal_mudancas_anomalias_cb_status_go_id,0.4277,0.5394,0.307,107.092,0.905
rule_injection_falsification_pattern,0.4285,0.3284,0.35,30.373,0.846
rule_grayhole_different_origins,0.4298,1.4142,0.348,581.174,0.853
rule_inverse_replay_pacotes_frame_length_diff_grande,0.431,5.1252,0.26,2186.75,0.9215
rule_inverse_replay_inconsistencies,0.433,0.6892,0.341,130.393,0.883
rule_grayhole_reset_sequence,0.433,1.1058,0.304,295.92,0.974
rule_grayhole_falsification,0.4363,1.6204,0.311,630.36,0.957
rule_masquerade_fake_fault_falsification_disjuntor_consistent,0.4374,3.1088,0.313,1232.647,0.92
rule_injection_jumps_stnum,0.4376,0.7279,0.347,289.607,0.832
rule_masquerade_fake_fault_state_change_anomaly_sequence,0.4378,1.0392,0.27,318.962,0.985
rule_injection_cb_status_alterado_go_id_alterado_delay_anomalo,0.4389,0.3802,0.348,38.538,0.911
rule_inverse_replay_inconsistencias_campos_derivados,0.443,1.4979,0.343,597.701,0.9485
rule_inverse_replay_frequencia_irregular_mudanca_estado,0.4442,1.0369,0.336,313.358,0.895
rule_grayhole_timefromlastchange_replay,0.4452,1.1644,0.273,332.725,0.9845
rule_grayhole_different_destinations,0.4454,1.9775,0.349,817.404,0.9375
rule_inverse_replay_frequencia_irregular_mudanca_estado_disjuntor,0.4457,1.0173,0.336,326.278,0.901
rule_inverse_replay_frequencia_irregular_mudanca_delay,0.4474,0.4925,0.344,77.979,0.957
rule_high_StNum_anomalies_frequency,0.4526,0.3772,0.37,56.127,0.8795
rule_poisoned_high_rate_statistical_anomaly,0.453,3.8356,0.3,1696.903,0.9615
rule_injection_inconsistencias_entre_campos_derivados,0.4538,1.3956,0.354,583.518,0.957
rule_high_StNum_temporal_pattern,0.4544,0.6774,0.31,144.169,1.005
rule_masquerade_fake_normal_diferenca_significativa_frame_length_diff_timestamp_diff,0.456,0.8252,0.354,300.355,0.907
rule_injection_ethsrc_ethdst_outside_topology,0.4579,0.5513,0.315,88.246,0.98
rule_random_replay_stnum_sqnum_mismatch,0.4582,1.1076,0.306,381.566,0.9885
rule_random_replay_st_num_alto_sq_diff_baixo_timestamp_diff_pequeno,0.4585,0.9145,0.266,311.457,0.974
rule_injection_desvio_significativo_em_relacao_a_media_mediana_do_trafego_normal,0.4608,0.5897,0.362,190.129,0.954
rule_injection_alternancia_entre_valores_normais_e_anomais,0.4636,1.5545,0.36,625.577,0.92
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff_frame_length_diff,0.4648,0.7975,0.387,307.592,0.86
rule_masquerade_fake_fault_falsification_disjuntor,0.466,0.8091,0.354,307.769,0.895
rule_injection_cbstatus_diff_outside_expected,0.4673,1.7928,0.36,625.342,0.945
rule_grayhole_cbstatus_jumps,0.4688,0.9185,0.35,330.89,0.95
rule_grayhole_sqnum_reset_pattern,0.4699,1.6839,0.339,589.18,1.07
rule_grayhole_cbstatus_change,0.4703,0.5867,0.304,174.995,1.02
rule_injection_eth_src_dst_anomais,0.4721,0.8644,0.35,323.739,0.984
rule_injection_intervalos_entre_mensagens_anomais,0.473,1.6281,0.365,657.024,0.985
rule_random_replay_falsification_state,0.4741,0.3307,0.367,33.433,0.915
rule_injection_cbstatus_falsification,0.4741,1.4157,0.333,585.458,0.988
rule_grayhole_timefromlastchange_change_sense,0.4752,1.0138,0.273,309.251,1.085
rule_grayhole_delay_change_sense,0.4758,1.7338,0.279,715.064,1.056
rule_injection_freq_anomalous,0.4761,2.3351,0.369,1000.482,0.98
rule_masquerade_fake_fault_packet_reappearance_sequence,0.4768,0.6681,0.357,167.41,1.049
rule_masquerade_fake_fault_falsification_consistente,0.4785,0.4956,0.39,99.667,0.9155
rule_grayhole_sqnum_stnum_jumps,0.4799,0.5426,0.354,83.39,1.056
rule_high_StNum_sqnum_reset_pattern,0.4811,0.3714,0.344,30.752,0.971
rule_grayhole_replay,0.4835,0.7317,0.353,190.756,1.085
rule_inverse_replay_flood_packets,0.4854,1.4851,0.315,553.7,1.073
rule_high_StNum_replay,0.4854,0.8552,0.345,303.397,1.181
rule_random_replay_falsification,0.4864,0.601,0.364,154.043,1.046
rule_high_StNum_temporal,0.4866,1.9164,0.334,722.66,1.005
rule_high_StNum_falsification_pattern,0.4937,0.8031,0.346,275.044,1.081
rule_high_StNum_masquerade_pattern,0.4959,0.8894,0.39,302.6,1.0
rule_random_replay_cb_status_alterado_go_id_alterado_delay_anomalo,0.496,1.5007,0.26,562.162,1.211
rule_injection_replay_pattern,0.4961,0.4903,0.39,80.664,1.0545
rule_random_replay_grayhole_desaparecimento,0.5001,1.2732,0.32,385.066,1.014
rule_injection_st_num_e_sq_num_fora_de_ordem,0.5001,1.0229,0.392,384.613,1.032
rule_injection_pacotes_que_desaparecem_e_reaparecem_com_numeros_de_sequencia_fora_de_ordem,0.5012,0.9936,0.392,289.515,1.002
rule_injection_jumps_stnum_time_diff,0.5022,1.2417,0.378,406.305,1.111
rule_masquerade_fake_fault_combination_anomaly_sequence,0.5031,1.6817,0.353,670.477,1.051
rule_grayhole_jumps_stnum_time_diff,0.5046,0.4715,0.325,69.52,1.01
rule_masquerade_fake_fault_rapid_packets,0.5054,0.7268,0.361,158.982,1.057
rule_injection_frequencia_irregular_de_mensagens,0.509,1.1463,0.363,434.285,1.11
rule_injection_st_num_alto_sq_diff_baixo_timestamp_diff_pequeno,0.5153,0.9819,0.347,351.941,1.09
rule_masquerade_fake_fault_sequence_jump,0.5157,0.8878,0.352,318.849,1.153
rule_masquerade_fake_fault_falsification,0.5169,0.4106,0.416,40.485,0.964
rule_inverse_replay_length_diff,0.518,1.9051,0.415,614.782,1.078
rule_masquerade_fake_fault_falsification_address,0.5212,4.9989,0.3,2130.647,0.903
rule_high_StNum_falsification,0.5224,0.8655,0.385,302.284,1.01
rule_inverse_replay_deviation,0.5252,0.472,0.414,44.975,1.087
rule_high_StNum_jumps_stnum_time_diff,0.5255,1.5314,0.349,444.768,1.213
rule_masquerade_fake_normal_diferenca_significativa_delay_time_from_last_change,0.5305,0.5929,0.358,89.774,1.0915
rule_grayhole_delay_change_sense_sequence,0.5321,0.8846,0.272,264.652,1.176
rule_inverse_replay_sqnum_reset_pattern,0.5324,1.511,0.389,413.533,1.109
rule_inverse_replay_replay,0.5339,0.9012,0.379,309.563,1.068
rule_grayhole_ethsrc_ethdst_jumps,0.5376,1.7524,0.403,600.637,1.149
rule_masquerade_fake_fault_combined,0.5388,0.7169,0.301,164.966,1.656
rule_injection_incrementos_anomais_em_sequencia,0.5397,0.821,0.437,301.056,1.071
rule_inverse_replay_anomalous_frequency,0.5421,1.123,0.35,305.556,1.15
rule_high_StNum_cb_status_go_id_apdu_size_diff,0.5449,1.4199,0.388,582.257,1.176
rule_inverse_replay_combination,0.5473,1.8987,0.357,787.135,1.158
rule_poisoned_high_rate_reset_pattern,0.5573,0.7225,0.439,171.66,1.129
rule_injection_falsificacao_consistente_de_eth_src_dst_cb_status,0.56,1.2689,0.381,471.835,1.098
rule_inverse_replay_pattern_alternance,0.5602,1.2849,0.389,394.128,1.201
rule_random_replay_combined,0.5621,1.6188,0.318,633.343,1.3605
rule_injection_sqnum_time_diff,0.5722,1.5899,0.347,457.202,1.234
rule_inverse_replay_falsification,0.5726,0.5877,0.418,123.402,1.17
rule_grayhole_falsification_state,0.5745,2.2668,0.377,735.991,1.294
rule_high_StNum_replay_pattern,0.5823,0.6976,0.387,143.801,1.273
rule_high_StNum_injection_forged_packets,0.5859,0.8405,0.476,298.33,1.158
rule_grayhole_injection_forged_packets,0.5872,1.1843,0.458,436.589,1.337
rule_injection_valores_que_nunca_aparecem_no_trafego_normal,0.5908,0.8584,0.491,311.319,1.047
rule_injection_tdiff,0.5916,6.4839,0.238,2011.039,0.971
rule_poisoned_high_rate_combination,0.6038,0.8913,0.475,268.322,1.173
rule_masquerade_fake_fault_replay,0.6107,0.9219,0.437,335.962,1.29
rule_injection_replay_exata_de_pacotes_antigos,0.617,0.9114,0.44,301.7,1.295
rule_poisoned_high_rate_frequency,0.623,2.7236,0.304,861.274,1.14
rule_injection_sqnum_reset_pattern,0.6239,4.1215,0.415,1649.202,1.346
rule_random_replay_replay_exato,0.6278,0.5066,0.358,45.396,1.3405
rule_inverse_replay_jumps_stnum_time_diff,0.6304,2.6607,0.427,907.589,1.237
rule_high_StNum_timeFromLastChange,0.6334,4.5074,0.338,1476.38,1.0415
rule_masquerade_fake_fault_frequencia,0.6414,2.1962,0.372,621.698,0.979
rule_masquerade_fake_fault_tdiff,0.6522,6.6653,0.362,1305.697,1.014
rule_masquerade_fake_fault_timestampdiff,0.6545,5.0938,0.263,1520.542,1.063
rule_random_replay_sqnum_reset_pattern,0.6567,0.9368,0.504,365.026,1.159
rule_masquerade_fake_normal_pacotes_desaparecem_reaparecem_sq_num,0.6639,6.1718,0.269,1640.539,1.004
rule_injection_timefromlastchange,0.6657,5.3656,0.27,1673.47,1.09
rule_high_StNum_stDiff_and_StNum,0.6661,6.6959,0.251,1758.518,1.239
rule_masquerade_fake_normal_falsification_cb_status,0.6712,4.5794,0.252,1345.964,1.05
rule_masquerade_fake_fault_stdiff,0.6775,1.4939,0.284,393.445,1.213
rule_high_StNum_combined,0.6878,3.6647,0.339,1363.099,1.445
rule_masquerade_fake_normal_falsification_eth_src_dst,0.6889,5.1488,0.388,1700.58,0.99
rule_high_StNum_injection,0.6925,1.589,0.481,619.891,1.5205
rule_injection_stdiff,0.6955,3.9442,0.262,1368.643,1.188
rule_injection_timestampdiff,0.7003,3.2641,0.36,1187.318,1.137
rule_masquerade_fake_normal_combined,0.7035,1.004,0.273,186.705,1.8315
rule_masquerade_fake_normal_falsification,0.7044,2.7415,0.362,965.074,1.0635
rule_injection_sqdiff,0.7103,4.3583,0.353,1288.403,1.1245
rule_masquerade_fake_normal_rajada_pacotes_intervalo_curto,0.7147,6.2269,0.269,1307.032,1.068
rule_masquerade_fake_fault_time_diff_anomaly_sequence,0.7179,4.2889,0.273,1350.247,1.078
rule_masquerade_fake_fault_packet_frequency_anomaly,0.7187,0.9184,0.276,233.312,1.1
rule_inverse_replay_padrao_alternancia,0.7224,1.7242,0.502,560.718,1.574
rule_inverse_replay_tdiff,0.7243,5.6901,0.269,1922.164,1.198
rule_masquerade_fake_normal_frequencia_irregular_mensagens,0.7268,1.7572,0.278,611.206,1.094
rule_high_StNum_stDiff,0.728,4.6164,0.253,1027.18,1.179
rule_masquerade_fake_normal_timestamp_diff_outside_normal_range,0.7406,3.574,0.382,1324.951,1.117
rule_random_replay_jumps_stnum_time_diff,0.7418,1.0095,0.513,362.759,1.623
rule_masquerade_fake_normal_anomaly,0.7437,7.3065,0.272,1861.719,1.114
rule_poisoned_high_rate_flood,0.764,6.9375,0.315,1781.193,1.106
rule_inverse_replay_stdiff_sqdiff,0.7658,5.5617,0.355,2442.939,1.2685
rule_masquerade_fake_fault_frequencia2,0.7727,8.3926,0.284,2181.688,1.142
rule_masquerade_fake_fault_time_diff_anomaly,0.7755,9.6191,0.372,2026.583,1.132
rule_masquerade_fake_fault_state_anomaly,0.8103,5.8331,0.375,1434.866,1.166
rule_inverse_replay_sqnum,0.8121,9.6172,0.273,2035.926,1.338
rule_masquerade_fake_fault_jumps_stnum_time_diff,0.8283,8.4936,0.336,2031.682,1.209
rule_poisoned_high_rate_falsification_state,0.8303,6.4146,0.31,1973.53,1.288
rule_masquerade_fake_fault_cbstatus_goID_falsification,0.8457,6.1538,0.44,2278.018,1.171
rule_masquerade_fake_normal_repeticao_exata_pacotes_antigos,0.8495,4.0641,0.472,1262.725,1.227
rule_inverse_replay_stnum,0.8639,6.3224,0.387,2032.245,1.332
rule_masquerade_fake_normal_diferenca_significativa_goose_length_diff_apdu_size_diff,0.8708,10.7958,0.353,2048.824,1.189
rule_random_replay_flood,0.8735,1.7747,0.569,599.11,1.89
rule_masquerade_fake_fault_disjuntor_falsification_consistent,0.883,10.1294,0.466,2037.22,1.198
rule_masquerade_fake_fault_ethsrc_ethdst_injection,0.8853,3.9313,0.5,1383.429,1.2725
rule_masquerade_fake_fault_packet_reappearance,0.8859,6.5407,0.362,2208.393,1.302
rule_masquerade_fake_normal_ethsrc_ethdst_cbstatus,0.8988,7.9129,0.357,2352.817,1.248
rule_masquerade_fake_normal_increment_anomalous_sequence,0.9114,9.3361,0.4,2031.579,1.278
rule_high_StNum_falsification_state,0.9166,1.6603,0.302,579.112,2.232
rule_masquerade_fake_normal_jumps_stnum_time_diff,0.9255,5.4046,0.353,2036.262,1.37
rule_masquerade_fake_fault_combination2,0.9352,4.85,0.385,2099.804,1.362
rule_masquerade_fake_fault_packet_disappearance,0.9402,8.3779,0.357,2031.765,1.3385
rule_masquerade_fake_normal_reset,0.9541,3.3469,0.486,1048.707,1.447
rule_masquerade_fake_fault_combination3,0.9545,1.8218,0.533,642.367,1.356
rule_masquerade_fake_normal_sqnum_reset_pattern,0.9654,4.3168,0.513,1448.289,1.379
rule_masquerade_fake_fault_combination_anomaly,0.9797,3.3152,0.571,1307.8,1.337
rule_masquerade_fake_normal_injection,0.9847,7.3907,0.401,2084.383,1.408
rule_masquerade_fake_normal_desvio_significativo_tráfego_normal,1.0086,4.6968,0.579,1616.562,1.394
rule_masquerade_fake_fault_combination,1.0461,8.7861,0.362,1546.176,1.559
rule_masquerade_fake_normal_cbstatus_timestamp_diff,1.0501,9.8765,0.51,2032.66,1.436
rule_masquerade_fake_fault_estatistica2,1.1109,5.0184,0.643,2075.844,1.472
rule_poisoned_high_rate_replay,1.1388,2.0998,0.622,627.24,1.6265
rule_random_replay_go_id_alterado,1.1499,1.4919,0.268,530.31,2.043
rule_injection_combined,1.1571,6.3858,0.276,1545.48,1.973
rule_poisoned_high_rate_falsification,1.165,13.4623,0.42,2096.552,1.5315
rule_masquerade_fake_fault_estatistica,1.1707,8.923,0.357,2266.99,1.61
rule_poisoned_high_rate_injection,1.2564,6.5889,0.492,2397.378,1.7495
rule_masquerade_fake_fault_sqnum_reset_pattern,1.3024,11.5117,0.473,2141.302,1.665
rule_random_replay_replay,1.3213,9.9077,0.683,2033.979,1.9385
rule_poisoned_high_rate_injection_forged_packets,1.3551,7.8187,0.524,1967.713,2.0
rule_inverse_replay_combined,1.3606,9.7646,0.506,1814.907,1.8895
rule_poisoned_high_rate_jumps_stnum_time_diff,1.3635,6.2523,0.503,2172.776,1.797
rule_masquerade_fake_normal_replay,1.3717,13.233,0.618,2040.383,1.8
rule_poisoned_high_rate_sqnum_reset_pattern,1.3896,2.4417,0.761,646.452,1.995
